Kab_Kota,Putus_SD,Putus_SMP,Putus_SMA,Putus_SMK,Putus_SLB,IPM_2024,Laju_IPM,Garis_Kemiskinan_Maret,Jumlah_Miskin_Maret_Ribu,Persentase_Miskin_Maret,Total_Putus_Sekolah,Jumlah_Miskin_Jiwa,Estimasi_Total_Penduduk,Rasio_Putus_Sekolah_per_Miskin,Putus_Sekolah_per_10k_Penduduk,Cluster,Tingkat_Kerentanan
Kab. Bandung,345,19,4,0,10,74.59,0.76,455636,239.87,6.19,378,239870,3875121,0.00157585358735982,0.9754534116483072,0,Risiko Sedang
Kab. Bandung Barat,195,7,11,16,12,70.77,0.63,455325,179.7,10.49,241,179700,1713060,0.0013411240957150808,1.4068392233780485,1,Risiko Tinggi
Kab. Bekasi,545,8,6,9,0,76.8,0.88,674924,204.54,4.8,568,204540,4261250,0.0027769629412339883,1.3329422117923144,0,Risiko Sedang
Kab. Bogor,533,55,5,21,7,73.63,0.84,513512,446.79,7.05,621,446790,6337446,0.0013899147250386087,0.9798900061633661,0,Risiko Sedang
Kab. Ciamis,49,3,2,10,7,73.64,0.71,467497,90.79,7.39,71,90790,1228552,0.0007820244520321621,0.5779161158827628,0,Risiko Sedang
Kab. Cianjur,394,14,5,46,1,68.89,1.04,466509,239.3,10.14,460,239300,2359960,0.00192227329711659,1.9491855794166002,1,Risiko Tinggi
Kab. Cirebon,228,5,0,21,1,72.3,0.68,475046,245.92,11.0,255,245920,2235636,0.0010369225764476253,1.1406150196185785,1,Risiko Tinggi
Kab. Garut,383,26,25,26,3,69.91,1.0,393464,259.32,9.68,463,259320,2678925,0.0017854388400431898,1.728305197047323,1,Risiko Tinggi
Kab. Indramayu,204,14,2,32,2,70.72,0.76,560159,212.14,11.93,254,212140,1778206,0.0011973225228622609,1.4284059327209557,1,Risiko Tinggi
Kab. Karawang,418,8,1,24,19,73.82,0.78,597345,187.77,7.86,470,187770,2388931,0.002503062257016563,1.967407179194376,1,Risiko Tinggi
Kab. Kuningan,84,10,2,10,5,71.56,0.8,420867,131.83,11.88,111,131830,1109680,0.0008419934764469393,1.000288371422392,1,Risiko Tinggi
Kab. Majalengka,71,3,1,4,3,71.37,0.86,547912,134.58,10.82,82,134580,1243807,0.0006093030167929856,0.6592662688021534,1,Risiko Tinggi
Kab. Pangandaran,23,2,0,2,0,71.03,0.65,470068,35.95,8.75,27,35950,410857,0.0007510431154381085,0.657162954507286,0,Risiko Sedang
Kab. Purwakarta,86,2,1,36,1,73.99,0.76,467948,81.44,8.41,126,81440,968370,0.0015471512770137525,1.301155550048019,0,Risiko Sedang
Kab. Subang,221,7,3,16,2,72.05,0.88,434161,152.56,9.49,249,152560,1607586,0.0016321447299423178,1.5489062482504823,1,Risiko Tinggi
Kab. Sukabumi,485,9,1,15,1,70.18,0.67,416751,175.93,6.87,511,175930,2560844,0.002904564315352697,1.9954358797334004,1,Risiko Tinggi
Kab. Sumedang,76,2,0,4,3,74.57,0.74,422714,108.89,9.1,85,108890,1196593,0.0007806042795481679,0.7103501357604465,0,Risiko Sedang
Kab. Tasikmalaya,154,6,9,5,0,69.98,0.86,400148,186.75,10.23,174,186750,1825513,0.0009317269076305221,0.9531567290947804,1,Risiko Tinggi
Kota Bandung,109,6,8,1,17,83.75,0.55,614707,101.1,3.87,141,101100,2612403,0.0013946587537091988,0.5397329585060192,2,Risiko Rendah
Kota Banjar,24,0,0,5,0,75.01,0.75,430590,11.16,5.85,29,11160,190769,0.0025985663082437275,1.5201631292295918,0,Risiko Sedang
Kota Bekasi,209,7,2,17,1,83.55,0.59,842927,128.84,4.01,236,128840,3212967,0.001831729276622167,0.7345235727600066,2,Risiko Rendah
Kota Bogor,94,5,0,0,0,79.03,0.86,699861,73.93,6.53,99,73930,1132159,0.0013391045583660219,0.8744354812354095,0,Risiko Sedang
Kota Cimahi,26,0,0,0,1,80.3,0.77,612567,27.0,4.39,27,27000,615034,0.001,0.4390001203185515,2,Risiko Rendah
Kota Cirebon,46,2,0,0,0,78.09,0.83,545592,29.17,9.02,48,29170,323392,0.0016455262255742201,1.4842667722145262,0,Risiko Sedang
Kota Depok,65,10,0,12,0,83.05,0.63,843893,62.6,2.34,87,62600,2675213,0.001389776357827476,0.3252077498128187,2,Risiko Rendah
Kota Sukabumi,32,0,0,2,1,77.69,0.69,678258,24.1,7.2,35,24100,334722,0.0014522821576763486,1.0456438477303553,0,Risiko Sedang
Kota Tasikmalaya,90,0,0,1,1,76.03,0.74,565377,76.71,11.1,92,76710,691081,0.001199322122278712,1.331247711917995,1,Risiko Tinggi
